phase	start	end	steps	critic/task_score/mean	executor_invalid_action_rate	executor_native_format_violations/unknown	planner_invalid_format_rate/unknown	planner_rewrite_rate/unknown
healthy_1_50	1	50	50	0.56142	0.021159999999999998	0.00248	0.18002	0.18002
stable_51_80	51	80	30	0.5988	0.035166666666666666	0.0	0.06046666666666667	0.06046666666666667
warning_81_89	81	89	9	0.4766666666666667	0.09011111111111111	0.006888888888888889	0.3957777777777778	0.3957777777777778
onset_90_93	90	93	4	0.319	0.24975	0.0935	0.56275	0.56275
collapse_94_100	94	100	7	-0.054	0.8039999999999999	0.741	0.7142857142857143	0.7142857142857143
